Fp1,Fp2,F3,F4
5.849304089888252012e-01,4.639527921562381363e-01,6.395550290183075193e-01,5.556838885393838856e-01
1.202011949487397091e+00,1.050561070460491075e+00,1.452193040061511065e+00,1.141911352013027292e+00
2.234421158360828219e+00,2.034511181205665764e+00,2.350866814766624735e+00,2.122700100442786564e+00
2.422755452647520347e+00,2.059499531812877482e+00,2.750553138882303017e+00,2.301617680015144440e+00
2.212322882024869930e+00,2.108914379273138628e+00,2.394527978629291010e+00,2.101706737923626278e+00
1.730808392944447993e+00,1.546137867870498672e+00,1.799125585011788431e+00,1.644267973297225627e+00
8.170617892175486841e-01,7.363721392714287495e-01,1.013608499791558204e+00,7.762086997566711721e-01
-3.936819238415274480e-01,-3.572632200908694156e-01,-1.836581499111063498e-01,-3.739978276494510534e-01
-9.354131596537101911e-01,-9.156860494737205647e-01,-1.039994636750606993e+00,-8.886425016710246538e-01
-1.652162939553798449e+00,-1.400892719550353327e+00,-1.825685994402390211e+00,-1.569554792576108415e+00
-1.980853610848580137e+00,-1.913208959869891590e+00,-2.139571943316757707e+00,-1.881810930306150986e+00
-1.633707000042400104e+00,-1.502814700165094219e+00,-1.640381918076211143e+00,-1.552021650040279921e+00
-8.125402050477559257e-01,-6.636460597007640683e-01,-1.027256829837938312e+00,-7.719131947953681294e-01
-4.284350750532883723e-02,-1.007743620259554940e-01,7.865965290812151900e-02,-4.070133213006239120e-02
6.655980813704461818e-01,6.359194106294696613e-01,7.805199783686351811e-01,6.323181773019238561e-01
1.423136383512169978e+00,1.196664401253517696e+00,1.536896156853115647e+00,1.351979564336561523e+00
1.375990419867998638e+00,1.035242414156020363e+00,1.532483198876517516e+00,1.307190898874598606e+00
1.741027666070535496e+00,1.636316724631155184e+00,2.111073901375963846e+00,1.653976282767008588e+00
5.427835961209753757e-01,4.922066758042951684e-01,6.170751100471110195e-01,5.156444163149266346e-01
9.793287499053779377e-02,4.684130197601672763e-02,4.358497184343697040e-01,9.303623124101090269e-02
-7.511026566363758761e-01,-7.515664988527579471e-01,-6.906933724342555481e-01,-7.135475238045569935e-01
-1.372464566077871373e+00,-1.396266789436733546e+00,-1.534424804654870300e+00,-1.303841337773977704e+00
-1.325425990806652354e+00,-1.081214838219776819e+00,-1.598956614414519528e+00,-1.259154691266319626e+00
-1.720521932616151828e+00,-1.628939827963637565e+00,-2.028949238104230890e+00,-1.634495835985344092e+00
-7.587193847576504391e-01,-7.362708162752682473e-01,-8.654637655560405429e-01,-7.207834155197678783e-01
-2.184779531248508544e-01,-3.318027941861841357e-01,-2.718896980761895121e-01,-2.075540554686083061e-01
5.620799009921195744e-01,4.866115446313820647e-01,6.589473434859771661e-01,5.339759059425135401e-01
1.438351896621411719e+00,1.311460160434491762e+00,1.526172356844330835e+00,1.366434301790341088e+00
2.286493396927519406e+00,1.856816246247887880e+00,2.502742781665699745e+00,2.172168727081143391e+00
2.087660217417862896e+00,2.018051379509388177e+00,2.124977145491620867e+00,1.983277206546969706e+00
1.321435470547243973e+00,1.157725770157741030e+00,1.482550464974300430e+00,1.255363697019881819e+00
1.061772547603972328e+00,1.125624900799467643e+00,1.341995881936238533e+00,1.008683920223773622e+00
-3.458514446406285026e-01,-3.688414638398844203e-01,-3.704066609339850547e-01,-3.285588724085970469e-01
-1.141800183986931838e+00,-1.095321758358267950e+00,-1.265706789239017471e+00,-1.084710174787585135e+00
-1.996275388937915451e+00,-1.775080651032926005e+00,-2.263502476401789476e+00,-1.896461619491019546e+00
-2.450716826045197028e+00,-2.102835807429192627e+00,-2.685065770751027259e+00,-2.328180984742937110e+00
-2.024260515669673133e+00,-2.021580404696153632e+00,-2.302342488216260197e+00,-1.923047489886189343e+00
-1.384598504833131294e+00,-1.198462113493448999e+00,-1.540190895767853618e+00,-1.315368579591474685e+00
-4.383968083997030196e-01,-3.944942470487319275e-01,-3.775456770787734007e-01,-4.164769679797178381e-01
2.262289685905674030e-01,7.104889255425494987e-02,3.175998731058825575e-01,2.149175201610390162e-01
1.591527044551900527e+00,1.323821162264127160e+00,1.753516865894799270e+00,1.511950692324305345e+00
1.956290296027403564e+00,1.739114893187718724e+00,2.085668010289758012e+00,1.858475781226033297e+00
2.015859512177797797e+00,1.972546676831270052e+00,2.118066944989752454e+00,1.915066536568907907e+00
1.044522947081924169e+00,8.992597004701545771e-01,1.118675391682995901e+00,9.922967997278279162e-01
1.257408595276660046e+00,1.151713966834418956e+00,1.614715330679315608e+00,1.194538165512826877e+00
4.499115004457526767e-01,3.192471120587987432e-01,3.656744144176146127e-01,4.274159254234650152e-01
-2.913457992044707900e-01,-1.190280693189841033e-01,-3.079139038696402930e-01,-2.767785092442472394e-01
-1.197065729651876298e+00,-9.627716955023061240e-01,-1.386639696876046823e+00,-1.137212443169282494e+00
-1.310249758669734366e+00,-1.072535346933513711e+00,-1.500521213508269947e+00,-1.244737270736247625e+00
-1.038691316143165677e+00,-1.104336848450985231e+00,-1.274058534524269204e+00,-9.867567503360072934e-01
-9.493774585707021041e-01,-8.095279011965370586e-01,-1.211571388337753019e+00,-9.019085856421669156e-01
2.954909285462338497e-02,3.527886909086493106e-02,-4.883989382395399759e-02,2.807163821189221503e-02
1.012741116850521594e+00,9.776833457828217888e-01,1.235891020321206790e+00,9.621040610079955036e-01
1.297118633770360407e+00,1.190891179131642552e+00,1.484876045860422655e+00,1.232262702081842409e+00
1.720764516210342432e+00,1.560535094088995711e+00,1.854486069827608219e+00,1.634726290399825199e+00
1.446469955153607767e+00,1.096275132521353557e+00,1.737134799284960174e+00,1.374146457395927223e+00
8.523709074950779341e-01,7.176157613098536059e-01,8.999163215624319534e-01,8.097523621203239763e-01
-1.549834531903395429e-01,-1.531177906889463480e-01,-2.134244804373539028e-01,-1.472342805308225477e-01
-8.236997381161668130e-01,-7.685868086053165849e-01,-8.774468293948644027e-01,-7.825147512103584058e-01
-1.289415789395094603e+00,-9.791319693209424857e-01,-1.349730412115676126e+00,-1.224944999925339895e+00
-2.067778508162184892e+00,-1.965908999318290773e+00,-2.354160598184119824e+00,-1.964389582754075603e+00
-1.794650372484970724e+00,-1.518606249380748174e+00,-1.897746608996850881e+00,-1.704917853860722143e+00
-1.385748462995253893e+00,-1.238183284256155536e+00,-1.551863919743571074e+00,-1.316461039845491232e+00
-7.716695203665666636e-01,-7.263174406655802384e-01,-9.772691932813818427e-01,-7.330860443482383193e-01
-1.408718218159619173e-01,-5.379091924506224087e-03,-8.384457442868564758e-02,-1.338282307251638104e-01
1.198046695562945851e+00,9.551651513106700353e-01,1.280154104226995937e+00,1.138144360784798526e+00
1.880181741639408211e+00,1.628891088449015756e+00,1.994302312863750259e+00,1.786172654557437678e+00
2.114543660661488467e+00,1.969452691931507404e+00,2.274789625117243919e+00,2.008816477628414088e+00
2.029452189709726184e+00,1.942492857849372756e+00,2.310607615115440439e+00,1.927979580224239875e+00
1.032136168470204396e+00,7.745756076138270441e-01,1.056729901628862267e+00,9.805293600466941095e-01
7.860397852623677295e-01,8.368453582168859928e-01,9.354722011134171122e-01,7.467377959992492764e-01
-3.634844690756477981e-01,-1.968986776838917430e-01,-1.551107022225345633e-01,-3.453102456218654082e-01
